,district,home_size,home_price
978,المهدية,375,2500000
979,المهدية,200,1350000
980,النرجس,540,6200000
981,النظيم,400,980000
982,طويق,300,1250000
983,القادسية,325,1750000
984,الرمال,300,1270000
985,نمار,300,1500000
986,الرمال,375,1400000
987,المعيزيلة,430,2000000
988,عكاظ,324,1300000
989,طويق,360,1500000
990,طويق,300,1220000
991,الملقا,405,4500000
992,طويق,300,1200000
993,طويق,375,1500000
994,البيضاء,250,750000
995,بدر,360,1290000
996,عكاظ,360,1290000
997,الملقا,518,5800000
998,الرحمانية,1730,14000000
999,الرمال,350,1850000
1000,البديعة,900,2100000
1001,النرجس,312,2800000
1002,بدر,280,860000
1003,طويق,230,900000
1004,طويق,375,1280000
1005,بدر,230,850000
1006,طيبة,268,895000
1007,عكاظ,300,1180000
1008,البيضاء,402,1130000
1009,طويق,240,1030000
1010,المونسية,264,1850000
1011,لبن,360,1700000
1012,الملقا,405,4500000
1013,طويق,300,1220000
1014,الرمال,500,1850000
1015,الوسطى,200,1000000
1016,القادسية,375,1960000
1017,طويق,250,1080000
1018,الدولي,305,1350000
1019,طويق,200,970000
1020,عكاظ,300,1000000
1021,الوسطى,200,1100000
1022,بدر,315,950000
1023,البيضاء,230,850000
1024,الرمال,584,3500000
1025,المهدية,200,1350000
1026,الروضة,650,2400000
1027,طويق,250,1230000
1028,العارض,312,2600000
1029,طويق,250,1200000
1030,طويق,300,1180000
1031,النرجس,450,3400000
1032,الوسطى,860,1200000
1033,الرمال,300,1350000
1034,لبن,200,1300000
1035,الرمال,300,1350000
1036,الخالدية,435,800000
1037,الياسمين,750,6000000
1038,النهضة,440,1750000
1039,بدر,300,980000
1040,طويق,300,1200000
1041,الرمال,300,1350000
1042,طويق,375,1300000
1043,المحمدية,2400,18000000
1044,عكاظ,234,1120000
1045,السويدي,1160,1700000
1046,الجنادرية,300,1400000
1047,نمار,300,1370000
1048,العارض,250,2200000
1049,طويق,250,1100000
1050,الملقا,200,2250000
1051,طويق,200,950000
1052,الرمال,264,1200000
1053,طويق,300,1100000
1054,طويق,300,1170000
1055,طويق,200,900000
1056,الرفيعة,1800,15000000
1057,الرمال,300,1350000
1058,المعيزيلة,360,1700000
1059,عكاظ,220,900000
1060,المونسية,240,1850000
1061,العزيزية,375,1230000
1062,الرمال,400,1900000
1063,العارض,392,3000000
1064,الورود,684,3200000
1065,بدر,300,1080000
1066,طويق,312,1450000
1067,عكاظ,338,1230000
1068,العزيزية,375,1200000
1069,النرجس,250,2100000
1070,طويق,250,1250000
1071,طويق,200,1070000
1072,طويق,200,890000
1073,عكاظ,370,1500000
1074,اشبيلية,430,2600000
1075,طويق,300,1150000
1076,طويق,300,1150000
1077,الملقا,736,8500000
1078,الملقا,405,4500000
1079,الرفيعة,1800,15000000
1080,طيبة,220,820000
1081,بدر,300,1000000
1082,الرمال,330,1450000
